Date,DJI_OPEN,DJI_HIGH,DJI_LOW,DJI_CLOSE,DJI_ADJ_CLOSE,DJI_VOLUME,DJI_DAILY_RETURNS
2017-12-01,24305.400390625,24322.060546875,23921.900390625,24231.58984375,24231.58984375,417910000,
2017-12-04,24424.109375,24534.0390625,24288.189453125,24290.05078125,24290.05078125,424250000,0.24125919049045041
2017-12-05,24335.009765625,24349.740234375,24155.279296875,24180.640625,24180.640625,371190000,-0.4504319782421162
2017-12-06,24171.900390625,24229.349609375,24134.490234375,24140.91015625,24140.91015625,312720000,-0.16430693200462088
2017-12-07,24116.599609375,24262.880859375,24101.240234375,24211.48046875,24211.48046875,319060000,0.2923266440380212
2017-12-08,24263.259765625,24330.119140625,24225.5,24329.16015625,24329.16015625,293590000,0.4860491189371485
2017-12-11,24338.109375,24389.720703125,24314.740234375,24386.029296875,24386.029296875,300580000,0.2337488851229086
2017-12-12,24452.9609375,24552.970703125,24443.830078125,24504.80078125,24504.80078125,342220000,0.48704724713104497
2017-12-13,24525.189453125,24666.01953125,24518.30078125,24585.4296875,24585.4296875,325280000,0.32903310241025885
2017-12-14,24631.009765625,24672.48046875,24508.66015625,24508.66015625,24508.66015625,314780000,-0.31225621120233304
2017-12-15,24585.7109375,24688.619140625,24584.439453125,24651.740234375,24651.740234375,635740000,0.5837939618601018
2017-12-18,24739.560546875,24876.0703125,24739.560546875,24792.19921875,24792.19921875,354880000,0.5697730993414529
2017-12-19,24834.380859375,24850.109375,24715.599609375,24754.75,24754.75,335330000,-0.15105242749774428
2017-12-20,24838.08984375,24852.439453125,24697.109375,24726.650390625,24726.650390625,341790000,-0.1135119901231052
2017-12-21,24778.259765625,24850.91015625,24766.26953125,24782.2890625,24782.2890625,339530000,0.22501499797196178
2017-12-22,24764.0390625,24784.150390625,24717.509765625,24754.060546875,24754.060546875,255140000,-0.11390600583266464
2017-12-26,24715.83984375,24778.130859375,24708.419921875,24746.2109375,24746.2109375,208290000,-0.03171039094832517
2017-12-27,24766.51953125,24789.51953125,24731.6796875,24774.30078125,24774.30078125,225890000,0.11351169607720646
2017-12-28,24807.2109375,24839.23046875,24797.130859375,24837.509765625,24837.509765625,200960000,0.2551393273744429
2017-12-29,24849.630859375,24871.66015625,24719.220703125,24719.220703125,24719.220703125,270760000,-0.4762517000142741
2018-01-02,24809.349609375,24864.189453125,24741.69921875,24824.009765625,24824.009765625,341130000,0.42391733848936575
2018-01-03,24850.44921875,24941.919921875,24825.55078125,24922.6796875,24922.6796875,456790000,0.3974777757767223
2018-01-04,24964.859375,25105.9609375,24963.26953125,25075.130859375,25075.130859375,403280000,0.6116965502367844
2018-01-05,25114.919921875,25299.7890625,25112.009765625,25295.869140625,25295.869140625,358020000,0.8803075943568661
2018-01-08,25308.400390625,25311.990234375,25235.41015625,25283.0,25283.0,341390000,-0.050874475011941644
2018-01-09,25312.05078125,25439.779296875,25308.41015625,25385.80078125,25385.80078125,333490000,0.4066004083771668
2018-01-10,25348.130859375,25404.919921875,25256.990234375,25369.130859375,25369.130859375,341470000,-0.0656663227551646
2018-01-11,25398.599609375,25575.419921875,25396.189453125,25574.73046875,25574.73046875,346830000,0.8104322158873689
2018-01-12,25638.390625,25810.4296875,25633.080078125,25803.189453125,25803.189453125,376390000,0.8932996758427514
2018-01-16,25987.619140625,26086.119140625,25702.990234375,25792.859375,25792.859375,606520000,-0.04003411339426055
2018-01-17,25910.779296875,26130.44921875,25865.01953125,26115.650390625,26115.650390625,522720000,1.2514743361019764
2018-01-18,26149.55078125,26153.419921875,25947.3203125,26017.810546875,26017.810546875,492780000,-0.37464065526441326
2018-01-19,25987.349609375,26071.720703125,25942.830078125,26071.720703125,26071.720703125,585000000,0.20720481515104083
2018-01-22,26025.3203125,26215.23046875,25974.650390625,26214.599609375,26214.599609375,431200000,0.5480225408861283
2018-01-23,26214.869140625,26246.189453125,26143.900390625,26210.810546875,26210.810546875,433490000,-0.01445401629801557
2018-01-24,26282.0703125,26392.80078125,26106.939453125,26252.119140625,26252.119140625,518790000,0.15760135947007203
2018-01-25,26313.060546875,26458.25,26259.720703125,26392.7890625,26392.7890625,401390000,0.5358421585757389
2018-01-26,26466.740234375,26616.7109375,26425.349609375,26616.7109375,26616.7109375,477780000,0.8484206594071564
2018-01-29,26584.279296875,26608.900390625,26435.33984375,26439.48046875,26439.48046875,421000000,-0.6658616429586761
2018-01-30,26198.44921875,26256.990234375,26028.419921875,26076.890625,26076.890625,448330000,-1.3713954938659345
2018-01-31,26268.169921875,26338.029296875,26050.98046875,26149.390625,26149.390625,479130000,0.27802394481224457
2018-02-01,26083.0390625,26306.69921875,26014.439453125,26186.7109375,26186.7109375,410620000,0.14271962599510246
2018-02-02,26061.7890625,26061.7890625,25490.66015625,25520.9609375,25520.9609375,522880000,-2.5423200400728097
2018-02-05,25337.869140625,25520.529296875,23923.880859375,24345.75,24345.75,714450000,-4.6048851388396095
2018-02-06,24085.169921875,24946.23046875,23778.740234375,24912.76953125,24912.76953125,823940000,2.3290288089296896
