Date,NSEI_OPEN,NSEI_HIGH,NSEI_LOW,NSEI_CLOSE,NSEI_ADJ_CLOSE,NSEI_VOLUME,NSEI_DAILY_RETURNS
2017-12-01,10263.7001953125,10272.7001953125,10108.5498046875,10121.7998046875,10121.7998046875,143400,
2017-12-04,10175.0498046875,10179.2001953125,10095.7001953125,10127.75,10127.75,148600,0.058785941505634653
2017-12-05,10118.25,10147.9501953125,10069.099609375,10118.25,10118.25,155500,-0.09380168349337747
2017-12-06,10088.7998046875,10104.2001953125,10033.349609375,10044.099609375,10044.099609375,166100,-0.7328380957675518
2017-12-07,10063.4501953125,10182.650390625,10061.900390625,10166.7001953125,10166.7001953125,166200,1.2206229598028528
2017-12-08,10198.4501953125,10270.849609375,10195.25,10265.650390625,10265.650390625,200000,0.9732773998600175
2017-12-11,10310.5,10329.2001953125,10282.0498046875,10322.25,10322.25,147400,0.5513494734507018
2017-12-12,10324.900390625,10326.099609375,10230.2001953125,10240.150390625,10240.150390625,175100,-0.7953654423696332
2017-12-13,10236.599609375,10296.5498046875,10169.849609375,10192.9501953125,10192.9501953125,181600,-0.4609326378225087
2017-12-14,10229.2998046875,10276.099609375,10141.5498046875,10252.099609375,10252.099609375,154300,0.5802972930222028
2017-12-15,10345.650390625,10373.099609375,10319.650390625,10333.25,10333.25,255100,0.7915489872025061
2017-12-18,10263.099609375,10443.5498046875,10074.7998046875,10388.75,10388.75,230400,0.5371011056540809
2017-12-19,10414.7998046875,10472.2001953125,10406.0,10463.2001953125,10463.2001953125,169100,0.7166424768379365
2017-12-20,10494.400390625,10494.4501953125,10437.150390625,10444.2001953125,10444.2001953125,175200,-0.1815888030940238
2017-12-21,10473.9501953125,10473.9501953125,10426.900390625,10440.2998046875,10440.2998046875,151900,-0.03734503889297747
2017-12-22,10457.2998046875,10501.099609375,10448.25,10493.0,10493.0,138800,0.5047766472073834
2017-12-26,10512.2998046875,10545.4501953125,10477.9501953125,10531.5,10531.5,155600,0.3669112741827796
2017-12-27,10531.0498046875,10552.400390625,10469.25,10490.75,10490.75,165200,-0.3869344347908643
2017-12-28,10498.2001953125,10534.5498046875,10460.4501953125,10477.900390625,10477.900390625,272900,-0.12248513571480046
2017-12-29,10492.349609375,10538.7001953125,10488.650390625,10530.7001953125,10530.7001953125,152000,0.5039158869532878
2018-01-02,10477.5498046875,10495.2001953125,10404.650390625,10442.2001953125,10442.2001953125,153400,-0.8403999578242116
2018-01-03,10482.650390625,10503.599609375,10429.5498046875,10443.2001953125,10443.2001953125,167300,0.009576525840304662
2018-01-04,10469.400390625,10513.0,10441.4501953125,10504.7998046875,10504.7998046875,174900,0.5898537634340117
2018-01-05,10534.25,10566.099609375,10520.099609375,10558.849609375,10558.849609375,180900,0.5145248428569005
2018-01-08,10591.7001953125,10631.2001953125,10588.5498046875,10623.599609375,10623.599609375,169000,0.6132296831134809
2018-01-09,10645.099609375,10659.150390625,10603.599609375,10637.0,10637.0,205000,0.12613794869653638
2018-01-10,10652.0498046875,10655.5,10592.7001953125,10632.2001953125,10632.2001953125,176400,-0.04512366915013777
2018-01-11,10637.0498046875,10664.599609375,10612.349609375,10651.2001953125,10651.2001953125,153800,0.17870242895141608
2018-01-12,10682.5498046875,10690.400390625,10597.099609375,10681.25,10681.25,175200,0.282125996474325
2018-01-15,10718.5,10782.650390625,10713.7998046875,10741.5498046875,10741.5498046875,175900,0.5645388385020489
2018-01-16,10761.5,10762.349609375,10687.849609375,10700.4501953125,10700.4501953125,211000,-0.3826227138756466
2018-01-17,10702.4501953125,10803.0,10666.75,10788.5498046875,10788.5498046875,252700,0.8233261943837888
2018-01-18,10873.400390625,10887.5,10782.400390625,10817.0,10817.0,312000,0.2637073177355065
2018-01-19,10829.2001953125,10906.849609375,10793.900390625,10894.7001953125,10894.7001953125,207600,0.7183155709762357
2018-01-22,10883.2001953125,10975.099609375,10881.400390625,10966.2001953125,10966.2001953125,231600,0.6562824007838586
2018-01-23,10997.400390625,11092.900390625,10994.5498046875,11083.7001953125,11083.7001953125,284600,1.0714741469905364
2018-01-24,11069.349609375,11110.099609375,11046.150390625,11086.0,11086.0,283400,0.020749430668232094
2018-01-25,11095.599609375,11095.599609375,11009.2001953125,11069.650390625,11069.650390625,330300,-0.1474797886974577
