Date,IXIC_OPEN,IXIC_HIGH,IXIC_LOW,IXIC_CLOSE,IXIC_ADJ_CLOSE,IXIC_VOLUME,IXIC_DAILY_RETURNS
2017-12-01,6844.0400390625,6872.169921875,6737.16015625,6847.58984375,6847.58984375,2302140000,
2017-12-04,6897.1298828125,6899.22998046875,6770.68994140625,6775.3701171875,6775.3701171875,2427170000,-1.054673661980754
2017-12-05,6759.14013671875,6836.4501953125,6752.31982421875,6762.2099609375,6762.2099609375,2085760000,-0.19423523766791684
2017-12-06,6742.06982421875,6787.419921875,6734.1298828125,6776.3798828125,6776.3798828125,1901770000,0.20954572479787714
2017-12-07,6785.740234375,6829.2900390625,6778.2001953125,6812.83984375,6812.83984375,1953740000,0.5380448199189036
2017-12-08,6859.9501953125,6870.47998046875,6831.60986328125,6840.080078125,6840.080078125,1825640000,0.39983670539371907
2017-12-11,6847.64013671875,6879.7998046875,6844.8798828125,6875.080078125,6875.080078125,1836780000,0.5116899159109511
2017-12-12,6872.7099609375,6884.7998046875,6856.2998046875,6862.31982421875,6862.31982421875,1872810000,-0.1856015313458026
2017-12-13,6880.41015625,6897.6201171875,6871.8701171875,6875.7998046875,6875.7998046875,1931090000,0.19643474530546268
2017-12-14,6887.3798828125,6901.1298828125,6851.6298828125,6856.52978515625,6856.52978515625,1990090000,-0.28025858923514946
2017-12-15,6871.5498046875,6945.81982421875,6871.4501953125,6936.580078125,6936.580078125,3529590000,1.167504488087423
2017-12-18,6980.39990234375,7003.89013671875,6975.5400390625,6994.759765625,6994.759765625,2150580000,0.8387373438313528
2017-12-19,6991.25,6995.8798828125,6951.490234375,6963.85009765625,6963.85009765625,2084190000,-0.4418974919003227
2017-12-20,6991.25,6991.25,6935.419921875,6960.9599609375,6960.9599609375,1888140000,-0.04150199499157736
2017-12-21,6972.8798828125,6992.6298828125,6961.2099609375,6965.35986328125,6965.35986328125,1827410000,0.06320826967027848
2017-12-22,6958.02001953125,6962.259765625,6944.4501953125,6959.9599609375,6959.9599609375,1541880000,-0.07752510207285068
2017-12-26,6928.919921875,6942.14013671875,6915.56005859375,6936.25,6936.25,1301000000,-0.3406623180387758
2017-12-27,6941.4501953125,6955.3798828125,6931.33984375,6939.33984375,6939.33984375,1411010000,0.04454631465129477
2017-12-28,6953.3798828125,6954.7998046875,6936.75,6950.16015625,6950.16015625,1319870000,0.15592711617582466
2017-12-29,6952.60986328125,6954.97998046875,6903.39013671875,6903.39013671875,6903.39013671875,1575290000,-0.6729344141687355
2018-01-02,6937.64990234375,7006.91015625,6924.080078125,7006.89990234375,7006.89990234375,1929700000,1.4994048369718627
2018-01-03,7017.06982421875,7069.14990234375,7016.7001953125,7065.52978515625,7065.52978515625,2173130000,0.8367449746625955
2018-01-04,7089.5,7098.0498046875,7072.3798828125,7077.91015625,7077.91015625,2103220000,0.17522212021183758
2018-01-05,7105.740234375,7137.0400390625,7097.080078125,7136.56005859375,7136.56005859375,2024000000,0.8286330434974509
2018-01-08,7135.3798828125,7161.35009765625,7124.08984375,7157.39013671875,7157.39013671875,2055010000,0.2918784113631334
2018-01-09,7174.18994140625,7181.14013671875,7148.2998046875,7163.580078125,7163.580078125,2155810000,0.08648321927422487
2018-01-10,7129.830078125,7154.240234375,7111.52001953125,7153.56982421875,7153.56982421875,2132430000,-0.13973814485326308
2018-01-11,7168.72998046875,7211.77978515625,7163.22998046875,7211.77978515625,7211.77978515625,2015170000,0.81371905730796
2018-01-12,7208.169921875,7265.259765625,7205.18017578125,7261.06005859375,7261.06005859375,1986600000,0.683330258349435
2018-01-16,7307.18994140625,7330.330078125,7205.93017578125,7223.68994140625,7223.68994140625,2399790000,-0.5146647581198649
2018-01-17,7257.77001953125,7309.35986328125,7229.31982421875,7298.27978515625,7298.27978515625,2245910000,1.0325726097745402
2018-01-18,7293.64990234375,7313.89013671875,7276.10986328125,7296.0498046875,7296.0498046875,2037410000,-0.030554877784838563
2018-01-19,7312.0,7336.3798828125,7297.27978515625,7336.3798828125,7336.3798828125,2005470000,0.552765937796762
2018-01-22,7338.0400390625,7408.02978515625,7332.81005859375,7408.02978515625,7408.02978515625,2118310000,0.9766383896178787
2018-01-23,7424.9501953125,7465.39013671875,7423.18017578125,7460.2900390625,7460.2900390625,2135840000,0.7054541547735882
2018-01-24,7474.16015625,7486.31982421875,7376.75,7415.06005859375,7415.06005859375,2287320000,-0.6062764347220195
2018-01-25,7457.9501953125,7458.52978515625,7388.580078125,7411.16015625,7411.16015625,2081380000,-0.05259434600574098
2018-01-26,7448.330078125,7505.77001953125,7431.22021484375,7505.77001953125,7505.77001953125,2080700000,1.2765864086942358
2018-01-29,7484.47021484375,7500.60986328125,7455.5498046875,7466.509765625,7466.509765625,2114420000,-0.5230676373521703
2018-01-30,7388.89013671875,7433.64990234375,7373.990234375,7402.47998046875,7402.47998046875,2183420000,-0.8575597858458073
2018-01-31,7443.25,7453.990234375,7381.1201171875,7411.47998046875,7411.47998046875,2428990000,0.12158087591922495
2018-02-01,7377.169921875,7441.08984375,7362.27978515625,7385.85986328125,7385.85986328125,2311180000,-0.345681527239039
2018-02-02,7347.58984375,7364.43017578125,7238.18017578125,7240.9501953125,7240.9501953125,2607160000,-1.9619877800439611
2018-02-05,7165.9599609375,7277.35986328125,6967.52978515625,6967.52978515625,6967.52978515625,3143210000,-3.776029426818206
2018-02-06,6837.56005859375,7126.5498046875,6824.81982421875,7115.8798828125,7115.8798828125,3148270000,2.1291634514759794
2018-02-07,7086.2001953125,7170.33984375,7051.52978515625,7051.97998046875,7051.97998046875,2380020000,-0.8979901768450649
2018-02-08,7067.2998046875,7073.990234375,6776.77001953125,6777.16015625,6777.16015625,2730740000,-3.897059052633367
2018-02-09,6863.33984375,6917.009765625,6630.669921875,6874.490234375,6874.490234375,3165330000,1.4361484143950776
2018-02-12,6936.68017578125,7023.6201171875,6879.68994140625,6981.9599609375,6981.9599609375,2250650000,1.5633119387545413
2018-02-13,6942.16015625,7025.68017578125,6938.16015625,7013.509765625,7013.509765625,1830320000,0.4518760471846628
2018-02-14,6979.240234375,7152.0498046875,6977.06982421875,7143.6201171875,7143.6201171875,2217630000,1.855138951972446
2018-02-15,7200.75,7256.93017578125,7130.39013671875,7256.43017578125,7256.43017578125,2124060000,1.5791721388197733
2018-02-16,7236.509765625,7303.259765625,7226.3798828125,7239.47021484375,7239.47021484375,2037710000,-0.2337232017212143
2018-02-20,7209.02978515625,7295.9501953125,7206.0,7234.31005859375,7234.31005859375,1921870000,-0.07127809213746117
2018-02-21,7258.47998046875,7338.64013671875,7218.10986328125,7218.22998046875,7218.22998046875,1956120000,-0.22227521345865586
2018-02-22,7252.4599609375,7280.93017578125,7194.83984375,7210.08984375,7210.08984375,1927580000,-0.11277192249036228
2018-02-23,7261.35009765625,7337.830078125,7232.5,7337.39013671875,7337.39013671875,1887540000,1.7655853911321184
2018-02-26,7373.2998046875,7421.85009765625,7360.25,7421.4599609375,7421.4599609375,1876560000,1.1457728518214694
