Date,N225_OPEN,N225_HIGH,N225_LOW,N225_CLOSE,N225_ADJ_CLOSE,N225_VOLUME,N225_DAILY_RETURNS
2017-12-01,22916.9296875,22994.310546875,22675.0703125,22819.029296875,22819.029296875,89700000,
2017-12-04,22843.529296875,22864.330078125,22693.990234375,22707.16015625,22707.16015625,68900000,-0.4902449581425494
2017-12-05,22595.330078125,22682.7109375,22522.279296875,22622.380859375,22622.380859375,75900000,-0.37335931173967385
2017-12-06,22525.380859375,22528.2109375,22119.2109375,22177.0390625,22177.0390625,97300000,-1.9685894232058465
2017-12-07,22317.150390625,22515.240234375,22317.150390625,22498.029296875,22498.029296875,79500000,1.4473989673300158
2017-12-08,22627.94921875,22819.7109375,22625.41015625,22811.080078125,22811.080078125,106900000,1.3914586789763206
2017-12-11,22894.30078125,22938.73046875,22787.400390625,22938.73046875,22938.73046875,69500000,0.5595981873186773
2017-12-12,22936.41015625,22994.330078125,22834.890625,22866.169921875,22866.169921875,86100000,-0.3163232898780177
2017-12-13,22879.26953125,22879.369140625,22697.3203125,22758.0703125,22758.0703125,91400000,-0.47274908628920365
2017-12-14,22699.30078125,22786.609375,22638.759765625,22694.44921875,22694.44921875,85100000,-0.2795539906345068
2017-12-15,22621.359375,22745.08984375,22478.3203125,22553.220703125,22553.220703125,99400000,-0.6223042218989727
2017-12-18,22770.439453125,22927.5,22735.19921875,22901.76953125,22901.76953125,85200000,1.5454503492563498
2017-12-19,22961.470703125,22990.419921875,22862.8203125,22868.0,22868.0,70500000,-0.14745380789864537
2017-12-20,22834.9296875,22923.5,22806.73046875,22891.720703125,22891.720703125,92400000,0.10372880498950021
2017-12-21,22852.009765625,22894.94921875,22728.060546875,22866.099609375,22866.099609375,73000000,-0.1119229702400748
2017-12-22,22850.73046875,22908.83984375,22801.16015625,22902.759765625,22902.759765625,77800000,0.1603253588337017
2017-12-25,22909.41015625,22948.830078125,22870.189453125,22939.1796875,22939.1796875,0,0.15901979607568784
2017-12-26,22922.94921875,22950.150390625,22877.630859375,22892.689453125,22892.689453125,46400000,-0.20266737960265013
2017-12-27,22854.390625,22936.16015625,22854.390625,22911.2109375,22911.2109375,47200000,0.08090567258567383
2017-12-28,22912.05078125,22954.44921875,22736.4296875,22783.98046875,22783.98046875,50300000,-0.5553197039522506
2017-12-29,22831.490234375,22881.2109375,22753.19921875,22764.939453125,22764.939453125,46500000,-0.08357194499493126
2018-01-04,23073.73046875,23506.330078125,23065.19921875,23506.330078125,23506.330078125,102200000,3.256721268802787
2018-01-05,23643.0,23730.470703125,23520.51953125,23714.529296875,23714.529296875,101900000,0.885715541550014
2018-01-09,23948.970703125,23952.609375,23789.029296875,23849.990234375,23849.990234375,94100000,0.5712149535173294
2018-01-10,23832.810546875,23864.759765625,23755.44921875,23788.19921875,23788.19921875,88800000,-0.2590819326036442
2018-01-11,23656.390625,23734.970703125,23601.83984375,23710.4296875,23710.4296875,83700000,-0.3269248358602206
2018-01-12,23719.66015625,23743.05078125,23588.0703125,23653.8203125,23653.8203125,93700000,-0.2387530540192806
2018-01-15,23827.98046875,23833.26953125,23685.01953125,23714.880859375,23714.880859375,75400000,0.2581424314056058
2018-01-16,23721.169921875,23962.0703125,23701.830078125,23951.810546875,23951.810546875,68500000,0.9990760185764724
2018-01-17,23783.419921875,23891.630859375,23739.169921875,23868.33984375,23868.33984375,82200000,-0.34849433599870583
2018-01-18,24078.9296875,24084.419921875,23699.470703125,23763.369140625,23763.369140625,99400000,-0.4397905502107502
2018-01-19,23854.109375,23872.689453125,23735.609375,23808.060546875,23808.060546875,71800000,0.18806847625658651
2018-01-22,23797.83984375,23816.330078125,23697.810546875,23816.330078125,23816.330078125,65200000,0.03473416590871192
2018-01-23,23924.400390625,24129.33984375,23916.01953125,24124.150390625,24124.150390625,73400000,1.292475841115115
2018-01-24,24026.4296875,24072.76953125,23917.140625,23940.779296875,23940.779296875,79900000,-0.760114204151463
2018-01-25,23750.650390625,23828.400390625,23649.029296875,23669.490234375,23669.490234375,81500000,-1.1331672170563412
2018-01-26,23757.33984375,23797.9609375,23592.279296875,23631.880859375,23631.880859375,87200000,-0.15889389516881014
2018-01-29,23707.140625,23787.23046875,23580.169921875,23629.33984375,23629.33984375,68800000,-0.01075248999485856
2018-01-30,23559.330078125,23581.98046875,23233.369140625,23291.970703125,23291.970703125,88800000,-1.4277552519700865
2018-01-31,23205.23046875,23375.380859375,23092.849609375,23098.2890625,23098.2890625,99800000,-0.831538228746842
