Date,HSI_OPEN,HSI_HIGH,HSI_LOW,HSI_CLOSE,HSI_ADJ_CLOSE,HSI_VOLUME,HSI_DAILY_RETURNS
2017-12-01,29261.310546875,29345.970703125,29028.759765625,29074.240234375,29074.240234375,2086681200,
2017-12-04,28951.189453125,29343.779296875,28803.189453125,29138.279296875,29138.279296875,1624072100,0.22026048482699512
2017-12-05,28898.580078125,29124.240234375,28838.119140625,28842.80078125,28842.80078125,1439200300,-1.0140561582738683
2017-12-06,28850.359375,28929.2109375,28204.529296875,28224.80078125,28224.80078125,2605434400,-2.1426490606340387
2017-12-07,28366.140625,28478.33984375,28134.9296875,28303.189453125,28303.189453125,1782453900,0.2777297614340535
2017-12-08,28400.009765625,28705.759765625,28344.390625,28639.849609375,28639.849609375,1747376700,1.189477803579586
2017-12-11,28645.41015625,28998.509765625,28645.41015625,28965.2890625,28965.2890625,2127756300,1.1363169065610856
2017-12-12,28972.740234375,29066.76953125,28745.73046875,28793.880859375,28793.880859375,2135704400,-0.591771077288894
2017-12-13,28856.779296875,29276.669921875,28707.599609375,29222.099609375,29222.099609375,2574054200,1.4871866425069769
2017-12-14,29335.759765625,29367.509765625,29047.609375,29166.380859375,29166.380859375,1959305700,-0.19067332855892127
2017-12-15,29000.109375,29017.66015625,28738.83984375,28848.109375,28848.109375,1999793000,-1.0912272109094956
2017-12-18,28923.529296875,29143.330078125,28821.189453125,29050.41015625,29050.41015625,1637861800,0.7012618352914224
2017-12-19,29193.740234375,29339.109375,29144.169921875,29253.66015625,29253.66015625,1633522100,0.6996458876374012
2017-12-20,29199.2890625,29326.51953125,29159.279296875,29234.08984375,29234.08984375,1308865200,-0.06689868001292787
2017-12-21,29209.640625,29431.810546875,29145.130859375,29367.060546875,29367.060546875,1440980300,0.45484810314158075
2017-12-22,29505.05078125,29578.009765625,29413.859375,29578.009765625,29578.009765625,1282144300,0.7183191467640793
2017-12-27,29632.970703125,29693.8203125,29516.509765625,29597.66015625,29597.66015625,1725832000,0.06643581086323014
2017-12-28,29684.7890625,29873.099609375,29661.060546875,29863.7109375,29863.7109375,1339575400,0.8988912631791912
2017-12-29,29914.05078125,29997.9609375,29849.310546875,29919.150390625,29919.150390625,1365770800,0.1856415408018952
2018-01-02,30028.2890625,30515.310546875,30028.2890625,30515.310546875,30515.310546875,2442333400,1.9925704723112947
2018-01-03,30658.73046875,30724.3203125,30456.759765625,30560.94921875,30560.94921875,2309467700,0.1495599128997771
2018-01-04,30691.7109375,30796.9296875,30560.4296875,30736.48046875,30736.48046875,2995571100,0.5743645223307059
2018-01-05,30893.859375,30911.009765625,30638.529296875,30814.640625,30814.640625,2263930100,0.2542911714614293
2018-01-08,30895.08984375,30929.150390625,30732.5390625,30899.529296875,30899.529296875,2004162500,0.275481622219953
2018-01-09,30933.509765625,31056.69921875,30852.4296875,31011.41015625,31011.41015625,2004940800,0.36207949415694163
2018-01-10,31009.240234375,31267.5703125,30928.580078125,31073.720703125,31073.720703125,2595365800,0.20092780870346605
2018-01-11,31066.2109375,31133.1796875,30950.0703125,31120.390625,31120.390625,1794778900,0.1501909678627733
2018-01-12,31298.05078125,31412.5390625,31198.359375,31412.5390625,31412.5390625,2327417400,0.938768542530144
2018-01-15,31702.560546875,31733.1796875,31265.25,31338.869140625,31338.869140625,2664144600,-0.23452393239662417
2018-01-16,31423.619140625,31904.75,31423.619140625,31904.75,31904.75,3097059200,1.8056837240544965
2018-01-17,31825.51953125,31983.41015625,31642.26953125,31983.41015625,31983.41015625,3999243800,0.24654685039060542
2018-01-18,32148.44921875,32233.810546875,31869.69921875,32121.939453125,32121.939453125,3741499700,0.4331286007284385
2018-01-19,32142.16015625,32254.890625,31986.0,32254.890625,32254.890625,2906627500,0.41389521971115784
2018-01-22,32276.9609375,32417.23046875,32046.83984375,32393.41015625,32393.41015625,2880231400,0.429452801004504
2018-01-23,32606.140625,32930.69921875,32554.23046875,32930.69921875,32930.69921875,3954770600,1.6586369261784473
2018-01-24,32907.23046875,33018.7109375,32728.509765625,32958.69140625,32958.69140625,3897512100,0.08500331958958274
2018-01-25,32979.37890625,32998.05078125,32650.220703125,32654.44921875,32654.44921875,3554766400,-0.9231015386803487
2018-01-26,32836.28125,33223.578125,32794.12890625,33154.12109375,33154.12109375,3892652400,1.5301800733270143
2018-01-29,33335.48046875,33484.078125,32897.0390625,32966.890625,32966.890625,3605090600,-0.5647275891300763
2018-01-30,32751.720703125,32976.75,32501.349609375,32607.2890625,32607.2890625,3177122400,-1.0907961159894786
2018-01-31,32435.759765625,32933.98046875,32330.390625,32887.26953125,32887.26953125,3314255500,0.8586438087917925
2018-02-01,32950.30078125,33048.0390625,32642.08984375,32642.08984375,32642.08984375,2769125200,-0.7455154866749525
2018-02-02,32569.009765625,32778.51171875,32321.419921875,32601.779296875,32601.779296875,2571367100,-0.1234925431182754
2018-02-05,31715.560546875,32394.869140625,31712.01953125,32245.220703125,32245.220703125,3135015100,-1.0936783250482862
2018-02-06,31028.6796875,31286.029296875,30577.830078125,30595.419921875,30595.419921875,5531270100,-5.116419566295949
2018-02-07,31378.349609375,31472.470703125,30292.150390625,30323.19921875,30323.19921875,4620281500,-0.889743313934277
2018-02-08,30555.80078125,30739.109375,30251.3203125,30451.26953125,30451.26953125,3145081200,0.42235092536282437
